Iteration,Timestamp,T1,T1_std,T2*,T2*_std,T2E,T2E_std
1,2025-10-04 11:12:59,4.479503056775691e-05,1.3536448827623108e-06,1.5017041925524666e-05,1.6245575892172217e-06,3.377586799713228e-05,7.690047865914626e-06
2,2025-10-04 11:13:50,4.120014732489352e-05,9.655588069295731e-07,1.6889735480196677e-05,1.7928331656599305e-06,3.83876858465193e-05,9.70642327409603e-06
3,2025-10-04 11:14:39,4.2245212491742734e-05,1.2939045504063903e-06,1.6397335988127537e-05,1.7950071658782256e-06,3.72412569620284e-05,8.35188411273323e-06
4,2025-10-04 11:15:27,4.25643786980956e-05,1.2881017212304802e-06,1.7502213624176477e-05,2.20857084683908e-06,3.5850631338263383e-05,6.991639166884307e-06
5,2025-10-04 11:16:16,4.282856041259997e-05,1.2040426371563498e-06,1.7639969402294398e-05,2.2992632630191146e-06,4.364112797849984e-05,1.1869750390128774e-05
6,2025-10-04 11:17:05,4.478778804672956e-05,1.3999180008107674e-06,1.7312187251983246e-05,1.7464971175178888e-06,3.912209205880757e-05,9.73007749679902e-06
7,2025-10-04 11:17:53,4.953920004613366e-05,1.6800398825901078e-06,1.5400038186452747e-05,1.6220160712531077e-06,4.276202478448177e-05,1.1855584024617934e-05
8,2025-10-04 11:18:41,4.234302898642461e-05,1.0260959602149022e-06,1.6495679055150703e-05,1.977586956771875e-06,4.0936364978927386e-05,1.013515641013826e-05
9,2025-10-04 11:19:30,2.7289960556453607e-05,9.25475934557818e-07,1.4776150369266716e-05,1.736683132253659e-06,3.298779774851823e-05,6.2684913882429366e-06
10,2025-10-04 11:20:19,1.8175545515752844e-05,5.435961107128408e-07,1.3708697113035129e-05,2.117725569891968e-06,2.24757753704008e-05,3.320359372617666e-06
11,2025-10-04 11:21:07,1.854413278001843e-05,7.215149586782781e-07,1.3630630536720645e-05,1.7845193780372834e-06,2.6037917743915173e-05,4.021448080771695e-06
12,2025-10-04 11:21:57,1.975052084035589e-05,7.091957366033847e-07,1.4575139406280968e-05,2.210267145469328e-06,2.5778639567430872e-05,4.546310245426799e-06
13,2025-10-04 11:22:45,3.210159513766797e-05,1.0605053472135775e-06,1.5220232051582627e-05,1.952972855093216e-06,3.2985223875181546e-05,6.883216650572088e-06
14,2025-10-04 11:23:33,3.09069604658152e-05,6.878218241971431e-07,1.6604298470612733e-05,1.9506736669681872e-06,3.8141854262763175e-05,6.1669212369826e-06
15,2025-10-04 11:24:22,3.353019343088626e-05,8.988355298768524e-07,1.4272020644856552e-05,1.105074554575036e-06,3.979292447908733e-05,9.11828822334111e-06
16,2025-10-04 11:25:13,3.55035216108579e-05,8.616384028600632e-07,1.6641797905947442e-05,1.969651058558221e-06,3.401696757632244e-05,7.499613056444906e-06
17,2025-10-04 11:26:01,3.273336694831208e-05,8.904212620298832e-07,1.5998180185716748e-05,1.686778267429699e-06,4.403938950003905e-05,1.0195944282323803e-05
18,2025-10-04 11:26:49,3.605706506237816e-05,9.948893444654369e-07,1.6690159496679513e-05,2.059819501248702e-06,3.939724076418294e-05,8.609184429881103e-06
19,2025-10-04 11:27:38,3.3531095622096885e-05,8.682778074589142e-07,1.6036023577692404e-05,2.0773101871901667e-06,3.7177457480774834e-05,8.109604834107223e-06
20,2025-10-04 11:28:26,3.651194952825065e-05,8.104194351245467e-07,1.7706467367206713e-05,1.95529373976015e-06,4.193486538461855e-05,1.10829570879149e-05
21,2025-10-04 11:29:14,3.7130574759292045e-05,9.797159051809202e-07,1.5779395989845568e-05,1.777542256338369e-06,3.5936928065360974e-05,7.66946578972641e-06
22,2025-10-04 11:30:02,3.798312879887966e-05,8.55680597831158e-07,1.62284689506631e-05,1.8440912878732504e-06,3.328139760960802e-05,7.395306472812922e-06
23,2025-10-04 11:30:50,3.45641639638572e-05,7.420804239046937e-07,1.4576236494256987e-05,1.6536073704255485e-06,3.828515362669371e-05,8.78229612994655e-06
24,2025-10-04 11:31:39,4.049991945054288e-05,8.588353061064505e-07,1.6786390334644352e-05,1.76668562442347e-06,3.170006876196396e-05,6.736204193669661e-06
25,2025-10-04 11:32:28,3.92642127797771e-05,1.0495345733481915e-06,1.6606817620612446e-05,1.91468355676159e-06,3.839540085559534e-05,1.0010353300044994e-05
26,2025-10-04 11:33:17,4.117514497870012e-05,1.2539073747361297e-06,1.734990674573389e-05,1.80231599995381e-06,3.43459150986547e-05,7.379587863829159e-06
27,2025-10-04 11:34:05,4.157427442330608e-05,1.1945697389531913e-06,1.6169424346568206e-05,2.02521234515248e-06,4.254295750594217e-05,1.2336481211417288e-05
28,2025-10-04 11:34:54,4.138467096304055e-05,1.1696412090256391e-06,1.6475423018746937e-05,1.881902216691074e-06,3.626860080729877e-05,7.837261721372682e-06
29,2025-10-04 11:35:43,3.968986452895784e-05,1.2490501336530087e-06,1.7215557155170202e-05,2.1155693963133497e-06,3.753710791709608e-05,8.67858104832951e-06
30,2025-10-04 11:36:32,4.2518441679684216e-05,1.0589700977751575e-06,1.6736007038220535e-05,1.8309601410662e-06,3.820665657250366e-05,9.143620018193192e-06
31,2025-10-04 11:37:20,3.909640467036901e-05,1.019576049398508e-06,1.7769751026630587e-05,2.028281381117549e-06,4.468562736614778e-05,1.180794170217467e-05
32,2025-10-04 11:38:09,3.815098609716294e-05,9.684411782024576e-07,1.653938362422558e-05,1.8905555346509624e-06,3.481793892867735e-05,7.030013681605732e-06
33,2025-10-04 11:38:57,3.882343302374913e-05,9.203665207950352e-07,1.7345605370033823e-05,1.812068408070616e-06,4.438096480252618e-05,1.351934015379969e-05
34,2025-10-04 11:39:47,3.583666932538421e-05,1.0897711569288871e-06,1.7542633740319502e-05,1.8390314769257e-06,3.663021898736574e-05,8.113126064521727e-06
35,2025-10-04 11:40:35,3.890051824173568e-05,1.155775937665439e-06,1.7741620601974262e-05,2.1706466784675983e-06,4.281476722622912e-05,1.0781747850061984e-05
36,2025-10-04 11:41:24,3.90832544563402e-05,1.0207430830274849e-06,1.600083441477551e-05,1.841341539472801e-06,3.675766630162336e-05,8.316005512313204e-06
37,2025-10-04 11:42:13,3.25658339954682e-05,9.29842536283772e-07,1.6099671319880215e-05,1.9731166743079824e-06,3.6689645827037154e-05,9.076828777197116e-06
38,2025-10-04 11:43:00,3.5093388802476255e-05,1.046408409316116e-06,1.5445825890525455e-05,1.663547249909833e-06,3.693158534967544e-05,8.062947793547545e-06
39,2025-10-04 11:43:48,3.884392375064216e-05,9.2474301389698e-07,1.6680346010211622e-05,1.6291105086167812e-06,3.102130236554146e-05,6.603069161532181e-06
40,2025-10-04 11:44:38,4.249102513242953e-05,1.0330240382775317e-06,1.6644494966300272e-05,1.6698962057282709e-06,3.707008616782304e-05,8.746729334622808e-06
41,2025-10-04 11:45:26,3.723071935035627e-05,9.780758417410153e-07,1.6311852485406675e-05,1.7398360422102242e-06,3.899110780114512e-05,9.416808199883922e-06
42,2025-10-04 11:46:15,4.376766258951115e-05,1.170773499723126e-06,1.6714264845951732e-05,1.83662492926365e-06,3.721851333748916e-05,8.317265016590477e-06
43,2025-10-04 11:47:04,4.76440528585087e-05,1.5600323676923926e-06,1.720030053964372e-05,1.584811109154108e-06,4.061315074355143e-05,1.1070304703148323e-05
44,2025-10-04 11:47:52,4.6851939643710594e-05,1.3971645298865954e-06,1.8107021323654493e-05,1.8391395326782927e-06,4.554500318976196e-05,1.260103910016936e-05
45,2025-10-04 11:48:42,4.4625680761800623e-05,1.6219623489840917e-06,1.5725762200879956e-05,1.5651419900327204e-06,4.0179740499857175e-05,1.0236472987185497e-05
46,2025-10-04 11:49:30,4.615128137386293e-05,1.0274974037331031e-06,1.5193803792890035e-05,1.5751583304752325e-06,3.3949324285131866e-05,7.423995288008334e-06
47,2025-10-04 11:50:19,4.3310287916931145e-05,1.4087362043630226e-06,1.631004004520875e-05,1.8311210581676277e-06,3.451981673752158e-05,7.402922581872683e-06
48,2025-10-04 11:51:07,4.096065161829365e-05,1.2173654687374956e-06,1.6771985199337536e-05,2.0417289542230323e-06,4.233061626135459e-05,9.56874500096351e-06
49,2025-10-04 11:51:56,4.365904442971136e-05,1.015050002287636e-06,1.6141487470866522e-05,1.8691744752612407e-06,4.2585776077519455e-05,9.573514286741524e-06
50,2025-10-04 11:52:44,4.128541881409653e-05,1.024654159678233e-06,1.7132061789437714e-05,1.9843915797211186e-06,3.615550870517126e-05,7.811040098255783e-06
51,2025-10-04 11:53:34,4.105706357604433e-05,1.107423291048622e-06,1.8583768198965345e-05,2.028369927068491e-06,3.279239014575275e-05,6.239935154271104e-06
52,2025-10-04 11:54:22,4.389237905355614e-05,1.2597501063084793e-06,1.7383218082978047e-05,1.7299362374536804e-06,3.8359239022511815e-05,9.3013455932075e-06
53,2025-10-04 11:55:11,4.6616650718922514e-05,1.489177530819664e-06,1.6490154699955184e-05,1.7543698643813912e-06,4.3092227032692776e-05,1.134937614801396e-05
54,2025-10-04 11:55:59,4.135484447376214e-05,1.245787032616066e-06,1.814853628134827e-05,2.109723692281069e-06,4.7456630201780925e-05,1.2641208266443304e-05
55,2025-10-04 11:56:48,4.684085473227739e-05,1.2398468901138734e-06,1.6827663419149985e-05,1.7627307495895812e-06,3.898965267024046e-05,8.492864563133937e-06
56,2025-10-04 11:57:36,4.011636595580015e-05,1.3534870125614437e-06,1.6932633747801518e-05,1.926733268978127e-06,4.676245054446859e-05,1.270246761439412e-05
57,2025-10-04 11:58:26,4.355458698257486e-05,9.93991670398725e-07,1.5703574656633634e-05,1.818572666104179e-06,4.235936560936793e-05,1.0825791618622942e-05
58,2025-10-04 11:59:15,4.30619415583422e-05,1.3233078587049614e-06,1.659684497523628e-05,1.7749208186392226e-06,3.7798017095580505e-05,9.537553215405428e-06
59,2025-10-04 12:00:04,4.012189669344579e-05,1.1769580351728613e-06,1.5637689524394816e-05,1.712097746978942e-06,4.937883570321766e-05,1.3279087361845266e-05
60,2025-10-04 12:00:52,4.586498345338086e-05,1.4621569905720236e-06,1.659202534898263e-05,1.822406232647696e-06,4.9408074019652304e-05,1.7890748209826527e-05
61,2025-10-04 12:01:41,3.885309664708458e-05,1.1832240529553362e-06,1.7063425979291225e-05,1.8247918568158253e-06,3.657464681938727e-05,8.928829704668994e-06
62,2025-10-04 12:02:29,4.024492717724648e-05,1.0987338390863122e-06,1.612333157052781e-05,1.8298189013300304e-06,3.5644593102235334e-05,7.66887296536652e-06
63,2025-10-04 12:03:17,4.1279333248489536e-05,1.1043844204690398e-06,1.702889965748966e-05,1.972355859639469e-06,3.901966792430045e-05,9.692976510451129e-06
64,2025-10-04 12:04:07,3.922330173389277e-05,9.845582305654283e-07,1.603269150507458e-05,1.8985496229924549e-06,4.5693327753726365e-05,1.2281107712287525e-05
65,2025-10-04 12:04:56,4.400632837819885e-05,1.3990501518607265e-06,1.677256967580476e-05,1.8922183771605e-06,3.611952379967143e-05,8.171810130811355e-06
66,2025-10-04 12:05:44,3.985131091122085e-05,1.2259446125626294e-06,1.6463783210962646e-05,1.881223778275644e-06,4.277914370520719e-05,1.1774506701624716e-05
67,2025-10-04 12:06:33,4.12393324331628e-05,1.0601451317908365e-06,1.641266208229908e-05,1.8382835056890656e-06,4.017862887839563e-05,8.956160250368936e-06
68,2025-10-04 12:07:21,4.89360510047554e-05,1.4025611574707368e-06,1.8137384993011096e-05,1.9569440397798976e-06,3.898225255150045e-05,1.0289728983962897e-05
69,2025-10-04 12:08:10,4.289657501277411e-05,1.3528052772656604e-06,1.6443208361360817e-05,1.8030713188446664e-06,3.909659285228351e-05,9.90760247009403e-06
70,2025-10-04 12:08:59,3.83869002951176e-05,1.079058451200746e-06,1.4810535473364084e-05,1.8235795449912876e-06,4.4050402185469295e-05,1.1603666644207404e-05
71,2025-10-04 12:09:49,3.803107988953336e-05,9.693222287555868e-07,1.755784093071533e-05,2.087014282597389e-06,4.589080983641303e-05,1.1353566573548944e-05
72,2025-10-04 12:10:37,4.016187418875994e-05,1.0199227774608574e-06,1.50162027738876e-05,1.6243271043856566e-06,4.2105220686261546e-05,1.10959069413161e-05
73,2025-10-04 12:11:26,4.5131275963949946e-05,1.229090261665446e-06,1.807412510546058e-05,1.868349133065532e-06,4.083299365054138e-05,1.102589850052168e-05
74,2025-10-04 12:12:15,3.624944798574781e-05,1.0102521729095315e-06,1.4276156356851644e-05,1.6149039972974972e-06,4.367024266205277e-05,1.0470296344102238e-05
75,2025-10-04 12:13:03,4.118173594069852e-05,1.2420890478849854e-06,1.2430086885339977e-05,1.505080394412224e-06,3.90765883211408e-05,8.868586818748412e-06
76,2025-10-04 12:13:52,4.093766838941804e-05,1.0395897693331872e-06,1.24906520568846e-05,8.491062713448573e-07,3.982561467097412e-05,8.811196279925147e-06
77,2025-10-04 12:14:41,4.218558022306418e-05,1.1587813668027763e-06,1.66278297921707e-05,1.8367510797444812e-06,5.178912741743424e-05,1.579747931033093e-05
78,2025-10-04 12:15:30,4.7581974710997343e-05,1.3896898136669264e-06,1.5001976915396398e-05,9.63863589792454e-07,3.501287068985448e-05,7.877245198227319e-06
79,2025-10-04 12:16:20,4.430284965151188e-05,1.277831005155116e-06,1.357145127056647e-05,1.643708290058324e-06,3.833537707920165e-05,8.005985103225908e-06
80,2025-10-04 12:17:09,4.26460183990951e-05,1.4345454384538526e-06,1.3031413548469928e-05,7.788713238107702e-07,3.805779984822344e-05,8.676187654661005e-06
81,2025-10-04 12:17:58,4.710764497972697e-05,1.3472000843479163e-06,1.7125807642459634e-05,2.0793682972440146e-06,3.852088189959524e-05,1.0967615879816396e-05
82,2025-10-04 12:18:47,4.3547269036325886e-05,1.3742275089823231e-06,1.542800845366621e-05,1.7923708949667086e-06,3.56434445254461e-05,7.762408482296666e-06
83,2025-10-04 12:19:36,4.727345172339525e-05,1.3913543233222316e-06,1.6807872920354683e-05,1.8254673677533533e-06,4.223037037487387e-05,1.112056058341601e-05
84,2025-10-04 12:20:25,5.022349915972946e-05,1.2732253972087164e-06,1.6758463851962446e-05,1.6531447379968793e-06,4.490972446880015e-05,1.3022231179706453e-05
85,2025-10-04 12:21:13,4.779679362165723e-05,1.2760129769335372e-06,1.6231300449032204e-05,1.6274712917342762e-06,4.653215272010236e-05,1.2561359143227196e-05
86,2025-10-04 12:22:02,4.853568502949379e-05,1.4531840863933214e-06,1.6740970877560102e-05,1.8329421948863349e-06,4.94198511125088e-05,1.3497854316116058e-05
87,2025-10-04 12:22:52,4.5848584241836576e-05,1.365356286130881e-06,1.3672138879039508e-05,1.5413039989442455e-06,4.160362430027931e-05,1.1055804194958146e-05
88,2025-10-04 12:23:41,4.806601298112945e-05,1.540568003998754e-06,1.7325363350861878e-05,1.7109381652101447e-06,3.5681983622692925e-05,8.756491344610757e-06
89,2025-10-04 12:24:30,4.7033219218839406e-05,1.0932283421348666e-06,1.4883740604876294e-05,1.6250799719154796e-06,3.5947475405473384e-05,8.31892117715008e-06
90,2025-10-04 12:25:18,4.492876246620092e-05,9.871061237172598e-07,1.1519057021791568e-05,1.4379994668935306e-06,4.246996139189996e-05,1.1589952164897716e-05
91,2025-10-04 12:26:07,4.847903837035261e-05,1.1301647719447983e-06,1.756026262822452e-05,1.9631398862152247e-06,3.9553189987495685e-05,1.0774046661649724e-05
92,2025-10-04 12:26:55,4.474736570658777e-05,1.1443452082358407e-06,1.654210845103421e-05,1.770878840072985e-06,3.746238191548734e-05,8.426213329664494e-06
93,2025-10-04 12:27:44,4.6362639100072656e-05,1.0910264393320277e-06,1.662962356174802e-05,1.836411038198408e-06,3.715483494515226e-05,8.415397778031847e-06
94,2025-10-04 12:28:32,4.504948724837199e-05,1.032415450876307e-06,1.771711273779175e-05,1.888411865426243e-06,5.156390025939928e-05,1.8636912160993852e-05
95,2025-10-04 12:29:21,4.6890517636510864e-05,1.145620803413337e-06,1.6693080462593102e-05,1.913094192821941e-06,3.316234940764495e-05,6.993329345897464e-06
96,2025-10-04 12:30:11,4.568454000053457e-05,1.0272705548931636e-06,1.762888439404975e-05,1.989301860812708e-06,3.672672757182305e-05,8.38545734497256e-06
97,2025-10-04 12:31:00,4.515132569316016e-05,1.415253400834902e-06,1.4483887252003669e-05,1.599743931513847e-06,4.422289915773092e-05,1.3111000982977932e-05
98,2025-10-04 12:31:49,4.484490309519806e-05,1.5299617553935432e-06,1.4738393095514724e-05,1.57867445508343e-06,4.2410157608197e-05,1.1251945650585152e-05
99,2025-10-04 12:32:38,4.284501714768574e-05,1.04168049209301e-06,1.6150840232320718e-05,1.7655799028660243e-06,5.74493940079801e-05,2.2402260937791248e-05
100,2025-10-04 12:33:26,4.341901104498725e-05,1.329106046776735e-06,1.6685305272545747e-05,1.792411668642388e-06,4.05163248748952e-05,9.4579013685255e-06
101,2025-10-04 12:34:15,4.183698459714336e-05,1.0818463465344254e-06,1.4847855827948564e-05,1.7322005739357035e-06,3.8810670541788994e-05,8.227571332102972e-06
102,2025-10-04 12:35:04,4.387920895809749e-05,1.2907109899224872e-06,1.5467593400986246e-05,1.6705802896819449e-06,4.525073631511667e-05,1.2128129791962244e-05
103,2025-10-04 12:35:52,4.277516934436676e-05,1.2248426818055866e-06,9.034663905449491e-06,1.364083365197965e-06,4.439685756696399e-05,9.704328724485113e-06
104,2025-10-04 12:36:41,4.209048806824711e-05,1.242977574273996e-06,1.4931980256704946e-05,1.7886499679806676e-06,3.857934628692661e-05,9.112048958402528e-06
105,2025-10-04 12:37:33,4.208006128614272e-05,1.1462531414536343e-06,1.5748504478718672e-05,1.704356922429288e-06,4.321039194921106e-05,1.1897607218843e-05
106,2025-10-04 12:38:21,4.026623681085973e-05,1.3293637514296024e-06,8.321244485909318e-06,8.775915107441256e-07,3.6017518406428195e-05,8.373557278615826e-06
107,2025-10-04 12:39:11,4.126136518189938e-05,1.2114665331413205e-06,1.695701120252302e-05,1.7551932312353312e-06,3.283960789257634e-05,6.881116796224947e-06
108,2025-10-04 12:40:00,4.2880370609177376e-05,1.1417147752612903e-06,1.7686455229926068e-05,1.835392414329477e-06,4.302253735288808e-05,1.064634568033896e-05
109,2025-10-04 12:40:49,4.478598929424926e-05,1.581891337436697e-06,1.813935724981341e-05,2.058822026624736e-06,3.849309131420675e-05,8.90548839833327e-06
110,2025-10-04 12:41:38,4.001484504478903e-05,1.1266023012905972e-06,1.629009210390997e-05,2.1034390148567877e-06,4.567155618340202e-05,1.0345030932176893e-05
111,2025-10-04 12:42:27,4.6015889823669553e-05,1.348962769804393e-06,1.6526858068521832e-05,1.877847777572416e-06,4.391386481716886e-05,9.831933364346196e-06
112,2025-10-04 12:43:16,4.070560883318031e-05,9.914944302440868e-07,1.7146537643730753e-05,1.948320136901112e-06,5.0705025564701245e-05,1.5710362453530724e-05
113,2025-10-04 12:44:05,3.959532577768599e-05,1.0085812518075682e-06,1.657631998774889e-05,1.8776888225661985e-06,3.4786927524566025e-05,6.909516503005505e-06
114,2025-10-04 12:44:55,4.58762473380947e-05,1.345897071838057e-06,1.7055579420777178e-05,1.7576839626887108e-06,4.093308806329965e-05,1.0149541511147636e-05
115,2025-10-04 12:45:44,4.672573926045587e-05,1.299489672763488e-06,1.515572853327818e-05,1.6864225123137452e-06,3.950332300273196e-05,9.40733868902993e-06
116,2025-10-04 12:46:33,4.937653991587965e-05,1.2527133925096675e-06,1.607472217735051e-05,1.536866278953955e-06,4.032175680146466e-05,1.1562473100775477e-05
117,2025-10-04 12:47:21,4.941588870877034e-05,1.4774700724295074e-06,1.932614084432238e-05,2.023659848823441e-06,4.170171836026526e-05,1.086698502089254e-05
118,2025-10-04 12:48:10,4.92319605149838e-05,1.5008679758576023e-06,1.9671620808736637e-05,1.9671957611742213e-06,4.1749670683710605e-05,1.122016926898378e-05
119,2025-10-04 12:48:59,4.439071091955071e-05,1.4343814230251044e-06,1.6403192137692812e-05,1.913927410143564e-06,3.644547507963836e-05,8.996098927902865e-06
120,2025-10-04 12:49:48,4.109021191434081e-05,1.0202025651414637e-06,1.742916042113407e-05,2.063371086208646e-06,3.691293129715056e-05,8.114577502254716e-06
121,2025-10-04 12:50:36,4.265366954814276e-05,1.1796410648927037e-06,1.760213631896157e-05,1.9859650192638736e-06,3.568570693235351e-05,7.295897940619424e-06
122,2025-10-04 12:51:25,4.432002769871879e-05,1.0600666788939334e-06,1.657757845974217e-05,2.0807505463448064e-06,3.716038470180649e-05,9.627490938445046e-06
123,2025-10-04 12:52:13,4.581376470125242e-05,1.2248774179331968e-06,1.7054504324320874e-05,1.8552415604300717e-06,4.192187157281424e-05,1.1644486977603988e-05
