Iteration,Timestamp,T1,T1_std,T2*,T2*_std,T2E,T2E_std,Qubit Frequency
1,2025-10-28 00:01:44,8.641932391029172e-06,2.95628065877632e-07,nan,nan,1.4162100789416598e-05,1.3216812090305062e-06,nan
2,2025-10-28 00:02:18,1.0771656461239232e-05,3.170993461571131e-07,7.355006005793641e-06,5.707754009407136e-07,2.863649645323818e-05,3.6685048633442648e-06,5439110825.482808
3,2025-10-28 00:02:51,1.1734579463684724e-05,3.811988983351206e-07,7.89593704486613e-06,7.003927103046651e-07,2.5793378328531347e-05,3.5451386748253663e-06,5439111321.655974
4,2025-10-28 00:03:25,1.0774969081861485e-05,4.1249524297035196e-07,6.630342184843485e-06,6.246222192093219e-07,2.236555046453148e-05,2.3859182645131995e-06,5439112050.423719
5,2025-10-28 00:03:58,1.1030653821686442e-05,3.9200403225489453e-07,5.819912178406383e-06,7.467905578586444e-07,1.8644939669520966e-05,2.200127111341116e-06,5439112370.926039
6,2025-10-28 00:04:32,1.2318922567366997e-05,5.293954583846777e-07,7.162168889518483e-06,6.521092112776089e-07,2.8931160863443495e-05,3.961194591454801e-06,5439110892.063659
7,2025-10-28 00:05:05,1.2411881090912402e-05,4.6067536513304536e-07,7.169798899919755e-06,7.269292261135904e-07,3.0871791698805495e-05,5.216612232526705e-06,5439113255.878651
8,2025-10-28 00:05:39,1.2507167389763651e-05,4.4297822005923006e-07,7.626415671868614e-06,7.008050364592638e-07,3.2890098320415007e-05,5.819897059097928e-06,5439110957.789765
9,2025-10-28 00:06:12,1.1352676423159735e-05,3.526629299250193e-07,7.442110491417964e-06,7.583350978070942e-07,2.904541668269367e-05,3.531717656467846e-06,5439111887.897447
10,2025-10-28 00:06:45,1.2484002040569209e-05,4.2438150120588606e-07,6.5279772143433945e-06,6.497868701055897e-07,3.5634102405035506e-05,5.676532815004019e-06,5439107236.075447
11,2025-10-28 00:07:19,1.3037699962969995e-05,4.713010786368501e-07,6.747430127518328e-06,6.369514537647549e-07,3.0816400312216885e-05,4.681288762746261e-06,5439111071.286474
12,2025-10-28 00:07:52,1.151438126356652e-05,4.503510625595286e-07,7.4324237475664745e-06,6.436663132779473e-07,2.22976418842169e-05,2.520729108556899e-06,5439118086.944009
13,2025-10-28 00:08:26,1.252481016034146e-05,4.6233513019947246e-07,6.918759059004742e-06,6.00007443136697e-07,2.7734643404775383e-05,4.106903653398885e-06,5439115642.220857
14,2025-10-28 00:08:59,1.1755195149953934e-05,4.164535109789134e-07,6.23846683356355e-06,5.901879511183521e-07,2.8773668991011192e-05,4.421831463819651e-06,5439106198.877231
15,2025-10-28 00:09:33,1.1668709805734423e-05,2.603917678973153e-07,7.499555946921532e-06,6.901490541839104e-07,3.153644032161118e-05,4.367051097474085e-06,5439114270.51274
16,2025-10-28 00:10:06,1.098609235206105e-05,3.2298325316538577e-07,6.627477495246836e-06,5.98696450472847e-07,2.217813123306378e-05,2.411181142578047e-06,5439113455.77101
17,2025-10-28 00:10:39,1.1599413361595978e-05,4.939323536649703e-07,7.303848423401149e-06,7.01303285280535e-07,3.071878834459696e-05,5.7897229986440885e-06,5439113843.540275
18,2025-10-28 00:11:13,1.117588316890128e-05,2.8237478034317993e-07,5.510391803298376e-06,8.51401579764078e-07,2.005304173979816e-05,1.7833251034051478e-06,5439116920.428886
19,2025-10-28 00:11:46,1.1353010783698991e-05,4.379145976192654e-07,6.290774582140557e-06,5.542909375442075e-07,2.3963309397023735e-05,2.7043688562346396e-06,5439109555.949962
20,2025-10-28 00:12:20,1.1233576560076841e-05,4.120709527407646e-07,6.80544664444227e-06,7.865707128728909e-07,2.4924755358091133e-05,3.309595161326084e-06,5439112246.365417
21,2025-10-28 00:12:53,1.1888603615117788e-05,5.118535234848928e-07,6.962195964410611e-06,6.784183014680421e-07,2.9239867322727875e-05,4.662133928450607e-06,5439113553.713372
22,2025-10-28 00:13:27,1.1498790170483275e-05,4.780446162985188e-07,7.0415704880311125e-06,5.781636530914796e-07,3.145059855946819e-05,4.892129531821095e-06,5439110361.574165
23,2025-10-28 00:14:01,1.1748969718894386e-05,4.0270395266360353e-07,6.561405800908915e-06,5.305303297584941e-07,2.9149390481597592e-05,4.445447414148715e-06,5439113964.576931
24,2025-10-28 00:14:34,1.2131953892602354e-05,3.7815968127184935e-07,7.4051071692338155e-06,8.978616004408063e-07,3.026403562711444e-05,4.182637311873569e-06,5439110854.376307
25,2025-10-28 00:15:08,1.214497525614533e-05,4.3670021481743737e-07,6.658917124591213e-06,8.921822734357166e-07,2.570423999626037e-05,4.242902385193152e-06,5439111328.922606
26,2025-10-28 00:15:41,1.2017878182390973e-05,5.435924302643539e-07,6.326373352294468e-06,6.742281122478911e-07,2.7784067756275732e-05,3.779735129516145e-06,5439111913.560519
27,2025-10-28 00:16:14,1.2157480625551997e-05,4.2671216403004326e-07,7.369259974243647e-06,7.381938272600534e-07,3.1416520112514945e-05,5.3558594765216035e-06,5439112058.485043
28,2025-10-28 00:16:48,1.2361033591590243e-05,5.228703797623967e-07,7.660048900071104e-06,5.322651103153792e-07,3.269235953662353e-05,6.114428465323469e-06,5439110277.916974
29,2025-10-28 00:17:21,1.10191574724805e-05,3.9288044901192617e-07,5.504479581031063e-06,8.862042419127703e-07,2.3825619576589574e-05,2.6109753831792777e-06,5439115339.988151
30,2025-10-28 00:17:55,1.2442835767068061e-05,3.8371764792537475e-07,6.343814990872332e-06,8.255115724972994e-07,2.6246279561492614e-05,3.431457473064802e-06,5439109669.343023
