Iteration,Timestamp,T1,T1_std,T2*,T2*_std,T2E,T2E_std
1,2025-10-15 17:49:02,1.2244264464111865e-05,2.654150301921307e-07,1.0801217728451107e-05,6.180238312599453e-07,1.1331003447301313e-05,4.667613338580584e-07
2,2025-10-15 17:49:58,1.282656377155078e-05,2.8223175253249617e-07,1.0163840083565745e-05,4.548338166166378e-07,1.2911942118387643e-05,5.84627582358091e-07
3,2025-10-15 17:50:53,1.3145160141503354e-05,2.876353928160336e-07,1.0517610605553784e-05,5.631330388856769e-07,1.2099903422990721e-05,5.829465953097227e-07
4,2025-10-15 17:51:47,1.228758773463845e-05,2.674633127420645e-07,8.796332633176362e-06,4.1443271570018416e-07,1.0260602676837038e-05,4.773010770946013e-07
5,2025-10-15 17:52:41,1.2092919528639001e-05,3.4287229908376264e-07,8.12720194431904e-06,4.104909097083621e-07,9.470112994014457e-06,4.835927259897689e-07
6,2025-10-15 17:53:36,1.184631827544358e-05,3.8527068147357166e-07,7.914510567585964e-06,4.1740518396186354e-07,8.92908691985106e-06,4.109667367767897e-07
7,2025-10-15 17:54:30,1.2507525235294636e-05,3.9073873949142003e-07,8.244409473112668e-06,4.728896246664823e-07,9.550059028473612e-06,4.242846978150994e-07
8,2025-10-15 17:55:25,1.2424632463536867e-05,3.036762672440671e-07,8.672575279922157e-06,4.514913339792977e-07,1.0129008584991439e-05,4.764031674916093e-07
9,2025-10-15 17:56:20,1.2128768441366233e-05,3.3623427625913124e-07,8.240504914214242e-06,4.692132243111419e-07,9.866878607711627e-06,4.926736705351841e-07
10,2025-10-15 17:57:14,1.0228945260593036e-05,2.9114764501043215e-07,6.291859445894943e-06,6.395404173045209e-07,9.235291126286072e-06,5.032256893035834e-07
11,2025-10-15 17:58:08,1.127735315198386e-05,2.760705943731745e-07,8.231258409985287e-06,3.5274831534228994e-07,9.74923273888706e-06,4.1106191964422563e-07
12,2025-10-15 17:59:03,1.110458035658013e-05,3.420892831522858e-07,7.4840259174369095e-06,3.617391863246612e-07,9.302257728105445e-06,4.277491824537962e-07
13,2025-10-15 17:59:58,1.196438201556127e-05,2.894478004294241e-07,8.200031443639233e-06,4.928993595748129e-07,8.836044273596855e-06,4.207031488642693e-07
14,2025-10-15 18:00:52,1.2139228320107165e-05,2.837841781323481e-07,7.748683825914426e-06,4.46687217229837e-07,9.540345383030058e-06,3.2717848194377527e-07
15,2025-10-15 18:01:46,1.094615958208145e-05,3.003451209649049e-07,6.812610997330992e-06,3.960400827575865e-07,8.904344681148757e-06,4.2521323856981873e-07
16,2025-10-15 18:02:41,1.2047193215902752e-05,3.650844683114627e-07,7.522510764301771e-06,4.095549461300309e-07,1.0039940512518442e-05,5.00639197686742e-07
17,2025-10-15 18:03:36,1.2116149762375628e-05,3.4910564164341215e-07,6.902048402368521e-06,3.4865948287048933e-07,9.514813321898075e-06,3.8765861817160256e-07
18,2025-10-15 18:04:30,1.1557593671884803e-05,3.9770810432542983e-07,7.330855469112052e-06,4.2124049237244506e-07,9.29254741355301e-06,4.4947345278062487e-07
19,2025-10-15 18:05:25,1.1716833782760006e-05,3.7194627646428087e-07,7.821655878093026e-06,4.6490694244886523e-07,8.886788223083641e-06,3.79197374589436e-07
20,2025-10-15 18:06:19,1.2721284523564691e-05,4.045774303495317e-07,7.222306487308927e-06,5.279654992602576e-07,9.557689236494582e-06,4.327611881813084e-07
21,2025-10-15 18:07:14,1.274393312900024e-05,3.6965572633435953e-07,8.855406728569548e-06,4.0326434527309264e-07,9.463595868508534e-06,3.784532197332637e-07
22,2025-10-15 18:08:08,1.1338914615022233e-05,3.2133244146020506e-07,9.398134098725919e-06,1.312572445646552e-06,8.927743699871371e-06,4.489416793661727e-07
23,2025-10-15 18:09:03,1.2803900227398302e-05,4.4122253490279557e-07,8.041963360572169e-06,4.5501223647243295e-07,1.009647228467081e-05,4.633448296554527e-07
24,2025-10-15 18:09:57,1.2572353992101881e-05,3.3908834522027063e-07,7.810995488855e-06,4.081968418141607e-07,9.238714040682439e-06,4.569475298973665e-07
25,2025-10-15 18:10:52,1.1812524024046311e-05,3.611978858245795e-07,6.721628244887867e-06,4.04072707372037e-07,8.932530373151337e-06,4.3813822407626636e-07
26,2025-10-15 18:11:47,1.214578859731752e-05,3.378559411191082e-07,6.618509498901304e-06,6.991273315779749e-07,1.000763017278139e-05,5.213377658404736e-07
