Iteration,Timestamp,T1,T1_std,T2*,T2*_std,T2E,T2E_std
1,2025-10-05 15:23:58,4.5162217944039185e-05,1.038463990973318e-06,1.663970589338426e-05,1.7617467544673e-06,4.235336824676139e-05,1.16843079161303e-05
2,2025-10-05 15:24:47,4.7966566033341707e-05,1.203665411577008e-06,1.6577486379176776e-05,1.5854863543387958e-06,3.698750562386444e-05,8.865422750450918e-06
3,2025-10-05 15:25:36,5.160736117826304e-05,1.7829936003868336e-06,1.7405258049496553e-05,1.788647026333143e-06,4.460407425610491e-05,1.3739172272075875e-05
4,2025-10-05 15:26:24,5.117796190790003e-05,1.5704061699800608e-06,1.8132518625035843e-05,2.0194463344674726e-06,4.3460557036079095e-05,1.256403953953004e-05
5,2025-10-05 15:27:13,4.3711889242237234e-05,1.31126959155106e-06,1.6290724260681344e-05,1.6423163825414415e-06,3.349139439912108e-05,6.411882774487834e-06
6,2025-10-05 15:28:02,4.4125470700207e-05,1.0333577726092637e-06,1.692922464324731e-05,1.7665242153699126e-06,3.5323356165850583e-05,7.636905129383437e-06
7,2025-10-05 15:28:50,4.92180447508872e-05,1.4289233162677682e-06,1.821505593335715e-05,1.8886386201054712e-06,3.702355717027928e-05,8.34343180132737e-06
8,2025-10-05 15:29:39,4.836106957917252e-05,1.336574417999942e-06,1.6296860635867105e-05,1.78580623192817e-06,4.431948735406088e-05,1.3147188162158338e-05
9,2025-10-05 15:30:27,4.609037440039821e-05,1.2948839220627897e-06,1.6691391218737195e-05,1.5800882115518352e-06,3.739955863091282e-05,9.578322042990554e-06
10,2025-10-05 15:31:15,4.658313182193119e-05,1.3921667734976164e-06,1.779257699885406e-05,1.919307200220986e-06,3.702232881508394e-05,8.937268009541295e-06
11,2025-10-05 15:32:04,4.394205668711848e-05,1.171959685203314e-06,1.6930675515114402e-05,1.904865294398157e-06,4.762578637662607e-05,1.5114350751503954e-05
12,2025-10-05 15:32:52,4.255365704919356e-05,1.158518319482417e-06,1.5703921653509312e-05,1.7942426136729611e-06,3.949208618392319e-05,8.508790514388428e-06
13,2025-10-05 15:33:41,4.570931506076015e-05,1.384038912540597e-06,1.7084976232650817e-05,1.962373350970399e-06,4.671839773062736e-05,1.437355605575227e-05
