Iteration,Timestamp,T1,T1_std,T2*,T2*_std,T2E,T2E_std
1,2025-10-16 15:56:53,1.7991099291014834e-05,4.3065015955516816e-07,1.2424762941831702e-05,4.922135399520023e-07,1.2334461155116827e-05,6.668870853099013e-07
2,2025-10-16 15:57:49,1.6904218220537004e-05,3.7298973782889e-07,1.2387048585305038e-05,5.392806199771725e-07,1.260276526249271e-05,6.288362515458925e-07
3,2025-10-16 15:58:43,1.767781144201841e-05,3.4929348596099373e-07,1.2014051452124974e-05,4.66581712774555e-07,1.2397416794263094e-05,6.198731328419491e-07
4,2025-10-16 15:59:37,1.7722224505023476e-05,4.383978673541333e-07,1.2030116729455642e-05,5.292576254900187e-07,1.1612559441376291e-05,5.423861242351692e-07
5,2025-10-16 16:00:32,1.7247105219553305e-05,3.775876973672827e-07,1.2017562924793168e-05,5.356557500354667e-07,1.1724269579183044e-05,6.275194910040298e-07
6,2025-10-16 16:01:26,1.6512118260259e-05,3.184156156552288e-07,1.1770640236496988e-05,5.758169643648333e-07,1.2363808121751418e-05,7.249156380392172e-07
7,2025-10-16 16:02:20,1.5161122914220115e-05,3.598836878933481e-07,1.166652011796998e-05,5.163255405154808e-07,1.1815228671441247e-05,6.550960433521663e-07
8,2025-10-16 16:03:14,1.6087663258890217e-05,3.603455978726472e-07,1.2377931989604463e-05,5.544195323802972e-07,1.1989212673757521e-05,5.433248050406953e-07
9,2025-10-16 16:04:09,1.6679575654432455e-05,3.4882933496402546e-07,1.2673866921719679e-05,5.579141137327553e-07,1.2686563002795026e-05,6.355848815833758e-07
10,2025-10-16 16:05:03,1.7135737683249275e-05,4.050171528680808e-07,1.2970026058933826e-05,5.910336220578058e-07,1.2935358773225047e-05,6.30778461748249e-07
11,2025-10-16 16:05:57,1.7361991493380913e-05,3.7209480438862676e-07,1.1945342231145517e-05,5.319622523839539e-07,1.2287180578329782e-05,5.408540334362548e-07
12,2025-10-16 16:06:52,1.7007155964421372e-05,3.810801615942866e-07,1.1770218649953534e-05,5.068458292321756e-07,1.1705703010234103e-05,6.476948841207892e-07
13,2025-10-16 16:07:46,1.6573524561191988e-05,4.007240961195258e-07,1.239840105737855e-05,4.536964499365998e-07,1.2765129108860407e-05,6.439445937009513e-07
14,2025-10-16 16:08:41,1.6821941687839015e-05,3.5222646226034934e-07,1.2755487193372161e-05,4.856840395250087e-07,1.2646344995426162e-05,6.352009889566659e-07
15,2025-10-16 16:09:35,1.7106600106009395e-05,3.41752670034042e-07,1.1710490098293391e-05,4.362567108917451e-07,1.2376308426986782e-05,5.028934474022531e-07
16,2025-10-16 16:10:29,1.6715491741869926e-05,3.4992811665333716e-07,1.2279142537652277e-05,5.688989237269159e-07,1.288192936099719e-05,6.131192410713562e-07
17,2025-10-16 16:11:24,1.695814460611622e-05,3.813298604426539e-07,1.3218828812222583e-05,6.149708176373161e-07,1.3046222219426085e-05,7.503216990561015e-07
18,2025-10-16 16:12:18,1.6816985302092746e-05,4.1164502558714033e-07,1.2088738866600224e-05,5.347979794929912e-07,1.2231563139453172e-05,5.224291017096385e-07
19,2025-10-16 16:13:12,1.6905465670680186e-05,3.3794213626533825e-07,1.2231351258273904e-05,5.483201844389561e-07,1.1899794136294162e-05,5.247873485651587e-07
20,2025-10-16 16:14:07,1.756688875009793e-05,4.157300383609257e-07,1.2601606618645178e-05,5.956194994038599e-07,1.305306515320126e-05,6.655937271725149e-07
21,2025-10-16 16:15:01,1.8591607833018386e-05,4.3811398054338453e-07,1.2855453813687134e-05,5.953442248827905e-07,1.2914515711504038e-05,6.403956866001884e-07
22,2025-10-16 16:15:56,1.7804510894059433e-05,3.985919703170553e-07,1.276584503684397e-05,5.401263283046092e-07,1.2715188369094577e-05,5.045258523938529e-07
23,2025-10-16 16:16:50,1.696781464399777e-05,3.6863727687290934e-07,1.2568806704083002e-05,5.634618885986317e-07,1.194421207095786e-05,5.368306210335364e-07
24,2025-10-16 16:17:44,1.7748914231008328e-05,4.244516198571427e-07,1.2605990978631354e-05,4.908984245743412e-07,1.225517360325945e-05,5.827896309160076e-07
25,2025-10-16 16:18:39,1.8074592965211522e-05,4.5318185426646464e-07,1.26519376517642e-05,5.107810719804384e-07,1.1980529730060141e-05,5.389219273989234e-07
26,2025-10-16 16:19:33,1.7077079353944313e-05,4.684235227976677e-07,1.2893563221094695e-05,5.773194826602106e-07,1.3225819907036751e-05,7.374322563058216e-07
27,2025-10-16 16:20:27,1.7557959317127114e-05,4.05413183337649e-07,1.193646169217466e-05,4.969896063346161e-07,1.2728730220512574e-05,6.447140975206203e-07
28,2025-10-16 16:21:21,1.754917657104116e-05,4.0331595637130413e-07,1.2058740603393403e-05,4.918635106921827e-07,1.2923765297490064e-05,6.797700533319017e-07
29,2025-10-16 16:22:16,1.7428717866030397e-05,3.3074527526955736e-07,1.2284135108675542e-05,5.447032833929893e-07,1.2077268923604834e-05,5.277156907141897e-07
30,2025-10-16 16:23:10,1.7590097005193428e-05,3.2664066932714637e-07,1.2159177129378307e-05,6.180140270712992e-07,1.3374849515246368e-05,7.394492761670447e-07
31,2025-10-16 16:24:05,1.8206362471850923e-05,4.290794179281714e-07,1.203905370728009e-05,5.91616813688568e-07,1.3672180219970187e-05,7.545744582761852e-07
32,2025-10-16 16:24:59,1.7767622748632306e-05,4.285835812759849e-07,1.31838100034809e-05,6.302277380779921e-07,1.1780312619169564e-05,5.27664216268883e-07
33,2025-10-16 16:25:53,1.663686171560208e-05,3.901953503941034e-07,1.2338962319002889e-05,5.609071356406562e-07,1.3238979288843211e-05,5.707508768287887e-07
34,2025-10-16 16:26:47,1.7743159132388442e-05,4.019545790613396e-07,1.2948892083697316e-05,5.089776175770984e-07,1.3425631501640112e-05,6.799596827314714e-07
35,2025-10-16 16:27:42,1.778620326309266e-05,4.407719875082508e-07,1.3469550638189887e-05,5.005087448975189e-07,1.2477280736611362e-05,6.250746042024316e-07
36,2025-10-16 16:28:36,1.7888042225466805e-05,4.439754603044489e-07,1.1549569369329049e-05,6.130951736966603e-07,1.246517465358643e-05,7.333572090484349e-07
37,2025-10-16 16:29:30,1.818559780630835e-05,3.9424045085711164e-07,1.3001017435065876e-05,4.527910057789133e-07,1.3285350713765354e-05,5.734953688720641e-07
38,2025-10-16 16:30:25,1.7510333357506624e-05,3.281648075748785e-07,1.2145654209483325e-05,5.265930813137741e-07,1.269237647805177e-05,6.057120556886323e-07
39,2025-10-16 16:31:19,1.712723512148351e-05,2.9853389162147717e-07,1.2324994572709969e-05,5.287368044636609e-07,1.3110390840287423e-05,6.64967389571971e-07
40,2025-10-16 16:32:13,1.7154233246996498e-05,4.1055300803575166e-07,1.1977292131204464e-05,5.249239313449885e-07,1.252443031907191e-05,5.516408968424214e-07
41,2025-10-16 16:33:07,1.7489590353969575e-05,4.630080269256161e-07,1.1872976869886642e-05,5.558464564877154e-07,1.165327510221914e-05,6.413923494138927e-07
42,2025-10-16 16:34:02,1.739090100461027e-05,2.971505873778382e-07,1.2697527448812806e-05,5.426280938317246e-07,1.2301511934653675e-05,5.649826400633015e-07
43,2025-10-16 16:34:56,1.776835977107538e-05,3.7272380040085473e-07,1.27466328756487e-05,5.817712480490578e-07,1.404347504130321e-05,8.015630869572659e-07
44,2025-10-16 16:35:51,1.7721714521190535e-05,4.3862605185500826e-07,1.25774407073731e-05,6.21332228295057e-07,1.2561798001131663e-05,5.402192015367379e-07
45,2025-10-16 16:36:45,1.7575904247335572e-05,3.198192206151504e-07,1.1552173108109187e-05,4.779613577909291e-07,1.4118117538153285e-05,6.513673824488968e-07
46,2025-10-16 16:37:40,1.6596873828156333e-05,4.0296720809774273e-07,1.2035495867701584e-05,5.219493836133304e-07,1.160249366183308e-05,5.013177410013581e-07
47,2025-10-16 16:38:34,1.7365811801450803e-05,4.1080984120061977e-07,1.214419372019826e-05,5.712611358237432e-07,1.2539913803344405e-05,5.696907900787109e-07
48,2025-10-16 16:39:28,1.6507232184936882e-05,2.858072711720072e-07,1.2413813256229034e-05,5.049485885878811e-07,1.259004209042125e-05,6.582648867374273e-07
49,2025-10-16 16:40:22,1.6057374536915248e-05,3.34039342160833e-07,1.140000027644028e-05,5.015076576678323e-07,1.2384791549635565e-05,5.522648987883487e-07
50,2025-10-16 16:41:16,1.6540309816015508e-05,3.370009050921918e-07,1.2159486407314901e-05,4.942759218182755e-07,1.2692506040190565e-05,6.747306388603192e-07
51,2025-10-16 16:42:11,1.688255973819608e-05,4.951942282867269e-07,1.2006689798393921e-05,5.595733106089211e-07,1.1653818593471144e-05,5.56641294368764e-07
52,2025-10-16 16:43:05,1.6096812517796266e-05,3.632040745847374e-07,1.1400380681703126e-05,5.600129536545877e-07,1.1709565325368487e-05,5.46559254311378e-07
53,2025-10-16 16:43:59,1.722396332448639e-05,4.0449162128001876e-07,1.1448168686145621e-05,5.360332709187382e-07,1.2589548358477032e-05,6.021621218323015e-07
54,2025-10-16 16:44:53,1.6948001423822134e-05,4.068105696636618e-07,1.192028172836146e-05,5.58066469734448e-07,1.2902130537506551e-05,5.815000834346681e-07
55,2025-10-16 16:45:48,1.6031492489743115e-05,3.890844015341408e-07,1.1090262411528329e-05,5.319638800453707e-07,1.187762886245558e-05,5.931173912920256e-07
56,2025-10-16 16:46:42,1.6727529886573222e-05,3.665712097102266e-07,1.250027577381907e-05,5.717295731582952e-07,1.2847765639589781e-05,7.146667217945798e-07
57,2025-10-16 16:47:37,1.6856558978650682e-05,3.25175494605123e-07,1.2124688684167495e-05,5.408430898025074e-07,1.2348275321150126e-05,6.885560573040546e-07
58,2025-10-16 16:48:31,1.5639695333469206e-05,3.1130487019604257e-07,1.2165464951863214e-05,5.1623915892946e-07,1.199752707425894e-05,5.851566685240184e-07
59,2025-10-16 16:49:26,1.4919464313534192e-05,3.3328727353304794e-07,1.1155691673092605e-05,4.379969246419355e-07,1.1220908626929926e-05,5.28535588084665e-07
60,2025-10-16 16:50:20,1.6104606129996313e-05,3.7903255269027475e-07,1.225360867973535e-05,5.217110181196515e-07,1.2419768655735908e-05,7.060115995395603e-07
61,2025-10-16 16:51:14,1.593879445982438e-05,4.188037285761762e-07,1.1912337441577492e-05,5.011638473710992e-07,1.3741163579661375e-05,8.8699763412306e-07
62,2025-10-16 16:52:08,1.622643918408606e-05,3.467765655761765e-07,1.1802303671037961e-05,4.688028290440743e-07,1.164519545793219e-05,5.581977930884556e-07
63,2025-10-16 16:53:03,1.629162317096089e-05,4.15620979617906e-07,1.1821522351906921e-05,3.87032930747362e-07,1.2260809970410236e-05,6.575488661162545e-07
64,2025-10-16 16:53:57,1.7202407516458962e-05,4.50626567184903e-07,1.1759158573321216e-05,5.406209130657361e-07,1.362491943601718e-05,6.700674776671081e-07
65,2025-10-16 16:54:51,1.7256588685343743e-05,3.5049240373322183e-07,1.1806296301708485e-05,5.351920310920995e-07,1.2212437011882571e-05,5.4362923523851e-07
66,2025-10-16 16:55:45,1.6968850382825806e-05,4.1490196037108376e-07,1.2496863299293892e-05,5.52276819659826e-07,1.248388776464715e-05,5.691785771173241e-07
67,2025-10-16 16:56:40,1.7829511691047628e-05,5.19159947972185e-07,1.2961077652251518e-05,5.058524969984095e-07,1.357801202539477e-05,8.058452990833672e-07
68,2025-10-16 16:57:35,1.7160044232022997e-05,3.256615159592503e-07,1.2103094860105301e-05,5.486795893630487e-07,1.1862441773535792e-05,5.143554038661442e-07
69,2025-10-16 16:58:29,1.5183039746125004e-05,3.091182016297916e-07,1.1840083124159406e-05,5.648552464827137e-07,1.0923278580543538e-05,5.318692251483236e-07
70,2025-10-16 16:59:24,1.6259103516658158e-05,3.958874580210609e-07,1.1290767343741237e-05,4.6614642510668124e-07,1.2651709303090897e-05,5.81185152660905e-07
71,2025-10-16 17:00:18,1.6609929575972515e-05,2.5667194261114246e-07,1.2081023968324445e-05,5.667754338551534e-07,1.2558346441204904e-05,6.645622592180528e-07
72,2025-10-16 17:01:12,1.6883472197637417e-05,3.5039907237114515e-07,1.2710292657924782e-05,5.683748081251713e-07,1.2679089647082975e-05,6.096703326208489e-07
73,2025-10-16 17:02:07,1.6175522291606015e-05,3.121029434698433e-07,1.2024289509415809e-05,4.7201806108735845e-07,1.2821109896199445e-05,6.963832980363771e-07
74,2025-10-16 17:03:01,1.6380916345593022e-05,3.6350456509596034e-07,1.14441597489634e-05,5.009670254721951e-07,1.1347721121879317e-05,5.687450393911434e-07
75,2025-10-16 17:03:55,1.7183846914958778e-05,3.5587823950365977e-07,1.1755642834287983e-05,6.571761343396289e-07,1.1886868499955128e-05,4.920794838222029e-07
76,2025-10-16 17:04:50,1.677200464378359e-05,3.3227029181310287e-07,1.1327799206206635e-05,5.72214118220425e-07,1.2280768820538412e-05,7.098564072710078e-07
77,2025-10-16 17:05:44,1.6938511495645514e-05,3.5148740509933186e-07,1.2709715813352673e-05,4.7239996666086903e-07,1.2408280202214073e-05,6.11471620517139e-07
78,2025-10-16 17:06:38,1.663258021222802e-05,3.6027760209912576e-07,1.0424945160236732e-05,5.27078525327247e-07,1.276251809145812e-05,6.732511342416506e-07
79,2025-10-16 17:07:33,1.696942207840557e-05,3.5735635638535736e-07,1.2486645101228433e-05,4.7530807716309053e-07,1.2043924442428633e-05,6.32857747586e-07
80,2025-10-16 17:08:27,1.6618699768988776e-05,3.728271305637647e-07,1.196108726841949e-05,4.0564005740678505e-07,1.1437452746232424e-05,4.449993143893139e-07
81,2025-10-16 17:09:22,1.638487794086707e-05,2.5622168409599723e-07,1.2735625475102097e-05,5.9709760496174e-07,1.251116557687837e-05,6.456575339212169e-07
