Iteration,Timestamp,T1,T1_std,T2*,T2*_std,T2E,T2E_std
1,2025-10-14 17:17:26,6.557684141705877e-06,2.468088254971654e-07,4.28127465257333e-06,3.050624128772426e-06,8.130773369252609e-06,4.778408182078949e-07
2,2025-10-14 17:18:22,1.944995517089154e-06,7.396277576061366e-08,4.362411420988366e-07,2.2936986414499638e-07,2.5256013327368265e-06,3.9759851182956047e-07
3,2025-10-14 17:19:17,1.86287257641915e-06,8.628992594242579e-08,2.499563178659514e-07,7.072312695008183e-07,1.3712360846795946e-06,2.418778066928841e-07
4,2025-10-14 17:20:11,1.890848570162973e-06,6.684114878119508e-08,2.517913912924996e-07,6.523299626550163e-07,2.5867441757476684e-06,4.4314900619026143e-07
5,2025-10-14 17:21:06,3.6358541430914215e-06,1.672339744491269e-07,2.3705685547881217e-06,2.3426156448204726e-07,6.034543292621208e-06,5.610122279503252e-07
6,2025-10-14 17:22:00,2.878985415177837e-06,1.5899863593794397e-07,1.7021357920921076e-06,2.0851800718777716e-07,4.666988373092096e-06,5.964325811843973e-07
7,2025-10-14 17:22:55,1.9026733966143183e-06,7.318459567988742e-08,2.5423438665406195e-07,6.515537562740994e-07,7.901300123069888e-07,1.83003890242478e-07
8,2025-10-14 17:23:49,4.237225233572062e-06,1.4318592365691514e-07,2.9681698321404326e-07,8.202466975672254e-07,6.077707012996925e-06,4.7327609323675135e-07
9,2025-10-14 17:24:44,4.545016667689694e-06,1.5869755388100948e-07,3.060172233393388e-07,8.040669891765446e-07,6.516252606836304e-06,4.528505368587999e-07
10,2025-10-14 17:25:38,4.653835851797794e-06,1.4778574385613365e-07,2.7786322331913027e-07,1.0084050609140367e-06,5.481816998553768e-06,3.8939183543234023e-07
11,2025-10-14 17:26:33,4.301957100549814e-06,1.2856132833621367e-07,2.828484535477571e-07,8.915427989376871e-07,6.037068586151051e-06,3.354867092583911e-07
12,2025-10-14 17:27:27,3.747597350001186e-06,1.0359906832666744e-07,2.805659713445152e-07,8.839091608808215e-07,4.898541857478733e-06,3.980260559421741e-07
13,2025-10-14 17:28:22,3.815293134312725e-06,1.2852997076671207e-07,3.176733098797513e-07,5.582545037044303e-07,5.219566953984511e-06,3.757446671831734e-07
14,2025-10-14 17:29:16,3.004991243171773e-06,1.2818000030972967e-07,2.913821619543455e-07,6.552508227994345e-07,4.682309086234682e-06,3.8770945919783833e-07
15,2025-10-14 17:30:11,4.219390327131478e-06,1.4283246830481195e-07,2.9281625679722367e-07,8.135903999086434e-07,5.658419576226592e-06,4.679579319895117e-07
16,2025-10-14 17:31:05,4.401512119445172e-06,1.181286560098783e-07,3.1830157998236075e-07,6.049819225813293e-07,5.786200659496643e-06,4.251890949859344e-07
17,2025-10-14 17:32:00,4.758427985640523e-06,1.381705488532107e-07,3.117235849448008e-07,7.212807259039368e-07,5.747426426339075e-06,3.46928981165811e-07
18,2025-10-14 17:32:54,3.945446799935581e-06,1.440759987706043e-07,2.991333125645923e-07,7.76717435559492e-07,5.502250669753295e-06,4.3242004118597693e-07
19,2025-10-14 17:33:49,5.145220061342215e-06,1.5311689008927024e-07,3.127233971778054e-07,6.64479428629435e-07,7.611959763842435e-06,5.301544136331455e-07
20,2025-10-14 17:34:44,5.952391712193972e-06,1.4536942935575943e-07,3.297570230209601e-07,6.960757316038911e-07,7.717034028908998e-06,5.250208497297749e-07
21,2025-10-14 17:35:38,3.982204818120394e-06,1.446220201711421e-07,2.577986530916121e-07,1.0138862581495232e-06,5.455960274902694e-06,4.7473655174956223e-07
22,2025-10-14 17:36:32,3.397440205166191e-06,1.3542871610564403e-07,2.902386369019183e-07,5.6944255655085e-07,5.62883232446687e-06,4.933133915909865e-07
23,2025-10-14 17:37:27,6.006555334669983e-06,1.4775862277405526e-07,3.409300303403029e-06,4.110710259071129e-07,7.377295131894002e-06,4.7365404784313403e-07
24,2025-10-14 17:38:21,6.487883569716857e-06,1.2441177484971176e-07,3.219776165686028e-07,7.204355885598003e-07,8.474266663949237e-06,5.296823446913384e-07
25,2025-10-14 17:39:16,5.354790383549357e-06,1.4844635157977707e-07,3.027390236276517e-07,7.626701113561389e-07,6.454819545087531e-06,4.5576588345494114e-07
26,2025-10-14 17:40:10,1.986074767756918e-06,8.203225097019169e-08,2.6483272708155425e-07,5.093272701798678e-07,2.7880297674975907e-06,4.786671886686516e-07
27,2025-10-14 17:41:05,4.499137612024029e-06,1.295953819063995e-07,3.3855207171029633e-07,6.124440971444184e-07,5.987145763608481e-06,4.228545637895135e-07
28,2025-10-14 17:41:59,4.851417889861764e-06,1.4336536593264393e-07,2.9768303688726405e-07,7.262127623688681e-07,6.061557774827975e-06,4.024419807654363e-07
29,2025-10-14 17:42:54,4.275702605083254e-06,1.1361624211053398e-07,2.9925031874711294e-07,7.428658031027946e-07,6.230149659725015e-06,4.405149436473196e-07
