Date,T1_min,T1_max,T2*_min,T2*_max,T2E_min,T2E_max
2025-10-16,1.3198668913139144e-05,1.8591607833018383e-05,9.741495206050388e-06,1.3469550638189888e-05,1.0581758816297082e-05,1.4263955941951068e-05
2025-10-17,1.3895024591370486e-05,1.7916473981527403e-05,1.055004369554524e-05,1.3370915648680535e-05,9.981209078357978e-06,1.3960450435446248e-05
