Iteration,Timestamp,T1,T1_std,T2*,T2*_std,T2E,T2E_std
1,2025-10-07 08:32:01,5.751574779844226e-05,1.9946629932329976e-06,1.781982065041099e-05,1.7610124317546295e-06,0.0001046191720606,6.196828511476966e-05
2,2025-10-07 08:32:51,5.19277521748851e-05,1.6538963430675298e-06,1.839328457409195e-05,2.0797729327510608e-06,7.75099231573595e-05,3.846000374499145e-05
3,2025-10-07 08:33:40,5.205413200481957e-05,1.6742271195645382e-06,1.8755523300439947e-05,1.770421510814076e-06,0.0001213461873947,8.230523673495146e-05
4,2025-10-07 08:34:28,5.219665340572277e-05,1.2597393178717002e-06,1.8596317439500964e-05,1.92787949360777e-06,7.922258641679392e-05,3.428107045071986e-05
5,2025-10-07 08:35:17,5.100839977845162e-05,2.059092571869268e-06,1.743422296041075e-05,1.644617956778624e-06,8.723418090128554e-05,4.325890895777791e-05
6,2025-10-07 08:36:04,5.375404136298556e-05,1.6929689537476248e-06,1.813431189989778e-05,1.740133096248553e-06,7.937600354956942e-05,3.3737027152574526e-05
7,2025-10-07 08:36:52,5.350312480434383e-05,1.5470025981162537e-06,1.8318685595763995e-05,1.8076831493968784e-06,6.360777886293967e-05,1.922455492018616e-05
8,2025-10-07 08:37:40,4.999038267006206e-05,1.5323910645766225e-06,1.961073797129842e-05,1.869808979447738e-06,0.0001030526822589,5.430048648173844e-05
9,2025-10-07 08:38:29,5.399008900019986e-05,1.8011615571452492e-06,1.751263214511134e-05,1.6680614443366372e-06,5.648223518694984e-05,1.7987242687793116e-05
10,2025-10-07 08:39:17,5.404101441186526e-05,1.875242082413789e-06,1.8281590161706163e-05,1.8429683002484032e-06,9.825281020003906e-05,5.073868980133268e-05
11,2025-10-07 08:40:06,5.444343291594045e-05,1.7997499974305673e-06,1.8854642676258138e-05,1.926408529222214e-06,0.0001187236926365,5.794749303422769e-05
12,2025-10-07 08:40:54,5.452059601074311e-05,1.9033012743874816e-06,1.81867996560392e-05,1.739690056063383e-06,8.882022432299408e-05,3.84540255464769e-05
13,2025-10-07 08:41:43,5.156715817844493e-05,1.6801008177609836e-06,1.940157345448057e-05,2.0272339419193e-06,9.805626462222604e-05,5.428230759170191e-05
14,2025-10-07 08:42:31,5.738695577561792e-05,1.8590283524852451e-06,1.9202538825924265e-05,1.999749274568245e-06,6.341017124245063e-05,2.016611620592432e-05
15,2025-10-07 08:43:20,4.953460938805776e-05,1.5041344276328943e-06,1.7920185781727938e-05,1.7864966873163724e-06,7.954061819903657e-05,3.0023685869328173e-05
16,2025-10-07 08:44:09,4.944800211847955e-05,1.556065387628646e-06,1.868947616801009e-05,2.244900371057792e-06,7.979784020450964e-05,3.4498893852275136e-05
17,2025-10-07 08:44:57,4.7968661647246336e-05,1.3546483853631154e-06,1.759842464332806e-05,1.871999469902536e-06,6.369252971127892e-05,2.1314975360822737e-05
18,2025-10-07 08:45:46,5.519189655611712e-05,2.0571550300842524e-06,1.8645647307469204e-05,2.02432779520665e-06,9.6787613514282e-05,4.3806114348027446e-05
19,2025-10-07 08:46:34,5.026970438493095e-05,1.720767713646272e-06,1.8776272792120352e-05,1.7935534877878398e-06,0.0001135727230223,6.988016208536431e-05
20,2025-10-07 08:47:23,5.3734500134794416e-05,1.5574152213707471e-06,1.749203227663365e-05,1.7349994522495012e-06,9.64032120149838e-05,5.1110698257987885e-05
21,2025-10-07 08:48:11,4.945164710834504e-05,1.684472890165505e-06,1.7399143238394643e-05,1.8542458132944145e-06,7.736176060180178e-05,2.797898564095792e-05
22,2025-10-07 08:49:00,5.446601712066901e-05,1.7267110899557884e-06,1.8516045352745536e-05,1.7843886226710636e-06,6.401576291126254e-05,2.28407007569754e-05
23,2025-10-07 08:49:49,5.332540607105862e-05,1.6205783091693005e-06,1.810047613570731e-05,1.8184471315769016e-06,8.740123118711196e-05,4.109765245645928e-05
24,2025-10-07 08:50:38,5.434533359593985e-05,2.0017661188016864e-06,2.015558964085784e-05,2.0784146167663835e-06,8.376984543168042e-05,3.152313689795488e-05
25,2025-10-07 08:51:27,5.352008466874558e-05,1.7110995873550784e-06,1.839781579304756e-05,1.9109288875079166e-06,9.572074924824037e-05,4.529930699135264e-05
26,2025-10-07 08:52:16,5.278539353748002e-05,1.7127526181553327e-06,1.8409465105007072e-05,1.965198162810549e-06,0.0001104183827047,6.637350019421955e-05
27,2025-10-07 08:53:05,5.441203006983919e-05,1.9364604374181797e-06,1.913904550665535e-05,1.8497633917419629e-06,9.71670717493378e-05,5.614372135583112e-05
28,2025-10-07 08:53:53,5.228100598819729e-05,1.192460035195921e-06,1.888991797649453e-05,2.117414211806954e-06,7.460193003550053e-05,3.121301702584188e-05
29,2025-10-07 08:54:42,2.619655900271134e-05,1.109193397117036e-06,8.481728534182054e-06,1.3543546285875347e-06,3.01026903872792e-05,4.132410877217546e-06
30,2025-10-07 08:55:31,1.2745548800818796e-05,5.341544355431172e-07,0.1435429009271791,,1.9428054786940763e-05,1.714522432146612e-06
31,2025-10-07 08:56:20,1.3323416561128454e-05,5.163838501200436e-07,0.1472146399461698,,2.0885837071826785e-05,1.876769748057943e-06
32,2025-10-07 08:57:07,1.1804544530091832e-05,5.696601643560758e-07,0.1428453537552498,,1.9213801004003276e-05,1.654999241165663e-06
33,2025-10-07 08:57:55,1.228668112984721e-05,5.776052928167114e-07,0.1407921990202838,,2.13810280362825e-05,1.968276462985122e-06
34,2025-10-07 08:58:43,1.4821418031774058e-05,5.90798089027097e-07,0.1444144013196,,2.1146794169535355e-05,2.2223480151912733e-06
35,2025-10-07 08:59:31,1.3359720652861284e-05,5.616987769673813e-07,0.1438038851851462,,1.958278552982584e-05,1.4023119044923232e-06
36,2025-10-07 09:00:18,1.393693295170806e-05,5.705337338392861e-07,0.1438210492490421,,1.843965677705839e-05,1.5767010454636057e-06
37,2025-10-07 09:01:06,1.2996111090846084e-05,5.650110833302725e-07,6.146349674773788e-06,7.585197843350725e-07,1.864675813179062e-05,1.5862949200888082e-06
38,2025-10-07 09:01:55,1.3269464431031608e-05,5.207779719523079e-07,5.724797929707037e-06,1.0679560539436772e-06,2.352022774543272e-05,2.146178124642428e-06
39,2025-10-07 09:02:44,1.4275834428367771e-05,6.227675726994434e-07,0.1466061668426952,,1.8216575875307228e-05,1.4110434941226177e-06
40,2025-10-07 09:03:32,1.4509903292658777e-05,5.679280116608214e-07,0.1442714533617979,,2.077343807860288e-05,1.8071732282405992e-06
41,2025-10-07 09:04:20,1.3393064599132032e-05,5.684180364596366e-07,0.142883594540579,,2.0919444439160276e-05,1.8801168083714288e-06
42,2025-10-07 09:05:08,1.3754134461585464e-05,6.321730704832293e-07,6.315418161317865e-06,6.356877859433935e-07,2.200943114338827e-05,2.3308257485233965e-06
43,2025-10-07 09:05:57,1.497991372367835e-05,6.387738992625922e-07,8.033445210831047e-06,9.946694651718349e-07,2.3307504285918768e-05,2.3542700602301383e-06
44,2025-10-07 09:06:47,1.652710498167842e-05,6.790587307730959e-07,7.360168354564323e-06,8.231472622125191e-07,2.2195073321906733e-05,1.864660594748695e-06
45,2025-10-07 09:07:37,1.623300353359447e-05,6.501100228429579e-07,3.903464045773575e-06,1.0823772297132408e-06,2.4979827341953253e-05,2.626907363836064e-06
46,2025-10-07 09:08:26,1.4958901078054865e-05,6.938902845643204e-07,6.589481279739573e-06,7.208740694755829e-07,2.2232083123796546e-05,2.208995054295988e-06
47,2025-10-07 09:09:15,1.33074995509741e-05,5.124715568761996e-07,0.145075684079754,,1.9899975504333867e-05,1.6629820122262812e-06
