Iteration,Timestamp,T1,T1_std,T2*,T2*_std,T2E,T2E_std,Qubit Frequency
1,2025-11-23 22:49:03,2.0685403294917748e-05,6.772518212486089e-07,2.4769131285129475e-05,2.410722359675818e-06,2.8623281314033022e-05,2.3139661586674735e-06,4765701768.45688
2,2025-11-23 22:49:42,1.974291444040155e-05,6.240674867366704e-07,2.4402329268147227e-05,1.6194322141984737e-06,2.7586575571891814e-05,2.1739517919519164e-06,4765697154.082886
3,2025-11-23 22:50:20,1.9750347523439515e-05,8.2606722991584e-07,2.2567021837227585e-05,1.8886962146325204e-06,2.9627125792686115e-05,3.2420668452142504e-06,4765696189.293734
4,2025-11-23 22:50:58,1.914240929612454e-05,8.362307449985236e-07,1.8689738627397645e-05,1.5524341629557664e-06,2.5355544341465475e-05,2.398400526595133e-06,4765693881.472199
5,2025-11-23 22:51:36,1.8085423715730187e-05,7.539856740664692e-07,nan,nan,3.1498839839771975e-05,3.6402309162242984e-06,nan
6,2025-11-23 22:52:14,1.8381628991370746e-05,6.165774962252785e-07,1.9727618243425837e-05,1.744137300611357e-06,2.880733781873701e-05,3.098975786862184e-06,4765693401.125693
7,2025-11-23 22:52:53,1.734886201099073e-05,8.039114928482085e-07,1.8958501240673442e-05,1.8607265004351827e-06,2.6273251526376384e-05,2.6211061052240485e-06,4765692837.326613
8,2025-11-23 22:53:31,1.9401917585204487e-05,7.663948545916205e-07,nan,nan,2.416708071284468e-05,2.0580186930178127e-06,nan
9,2025-11-23 22:54:10,1.9394766588964885e-05,7.056902033792352e-07,2.395484611983356e-05,2.0315300208961507e-06,2.8560451261983033e-05,3.17394685263636e-06,4765697359.759468
10,2025-11-23 22:54:48,1.850706605655006e-05,7.061552943048379e-07,1.7931194918219262e-05,1.7569029020542912e-06,2.5953724212657292e-05,2.33629009788522e-06,4765696113.326051
11,2025-11-23 22:55:26,1.916230614118497e-05,7.886876663343526e-07,nan,nan,2.943641878294656e-05,3.728332497348652e-06,nan
12,2025-11-23 22:56:05,1.9852842760181844e-05,8.597627433311516e-07,2.1643222420264507e-05,1.8070404586721275e-06,2.7686348034627883e-05,3.089652650282978e-06,4765699090.4558
13,2025-11-23 22:56:43,1.92561197911445e-05,7.17881681620739e-07,2.3079119576996376e-05,1.6302158816376172e-06,2.5574761656654843e-05,2.736612746930439e-06,4765698738.886187
