Iteration,Timestamp,T1,T1_std,T2*,T2*_std,T2E,T2E_std,Qubit Frequency
33,2025-11-24 18:05:31,7.1662630167779184e-06,1.045570188456776e-07,nan,nan,3.97723728484678e-06,1.214695504667262e-06,nan
34,2025-11-24 18:06:08,7.643415796509956e-06,1.332772721819161e-07,1.1386130012613904e-05,8.361189728869413e-07,6.878870873805454e-06,1.3776315531544702e-06,4360998137.135227
35,2025-11-24 18:06:46,7.067023815254814e-06,1.7332172682211118e-07,9.808898785879094e-06,1.4280997979027558e-06,2.4013176942450087e-06,1.7617604578166626e-06,4361002617.642185
36,2025-11-24 18:07:24,7.041808677943351e-06,1.5639661179010226e-07,nan,nan,6.129098344853645e-06,9.872506536146385e-07,nan
37,2025-11-24 18:08:01,7.254345942397933e-06,1.0875130016801292e-07,1.256220201351077e-05,1.031050632721672e-06,5.187730835354287e-06,1.3658967349504658e-06,4360996664.158887
38,2025-11-24 18:08:39,6.9989272104553635e-06,1.120535590938603e-07,nan,nan,4.654939514514567e-06,1.1860224594263197e-06,nan
39,2025-11-24 18:09:17,7.647382274322823e-06,1.848242019661552e-07,nan,nan,6.545992643713916e-06,1.3299332747504557e-06,nan
40,2025-11-24 18:09:54,7.3542512402102744e-06,1.595376827292018e-07,nan,nan,3.95071086400911e-06,8.081580094780809e-07,nan
41,2025-11-24 18:10:32,7.214446686720777e-06,1.723190998425278e-07,9.479395012723657e-06,9.69225741494783e-07,3.7554280816198826e-06,1.079738069773764e-06,4360994833.780954
42,2025-11-24 18:11:10,7.071896089838603e-06,1.0851545072231278e-07,9.967211095363027e-06,9.800713105702802e-07,4.378334569343778e-06,1.150163381947127e-06,4360994244.0409355
43,2025-11-24 18:11:47,7.420843974204061e-06,1.2849185593407637e-07,nan,nan,6.527272853995569e-06,1.2567456453102428e-06,nan
44,2025-11-24 18:12:25,7.094214101721619e-06,1.2124816894509475e-07,1.0955991331051962e-05,8.165402281052055e-07,5.933367219768115e-06,1.0757646421823056e-06,4360996368.116775
45,2025-11-24 18:13:03,7.227342152749117e-06,1.028462760594212e-07,nan,nan,6.240761528220062e-06,1.3345420237902055e-06,nan
46,2025-11-24 18:13:40,6.7837864179409735e-06,1.2739971312179294e-07,1.0134272681039391e-05,1.1224209555148844e-06,6.791085731761015e-06,1.645066943850494e-06,4360996027.869515
47,2025-11-24 18:14:18,7.143796606490227e-06,1.188206389928608e-07,1.0946918554077811e-05,1.0957758962210593e-06,5.685864172599864e-06,1.3759123609420863e-06,4360998442.134731
48,2025-11-24 18:14:55,7.5011166724703315e-06,1.0882276965113714e-07,nan,nan,5.113734399930792e-06,1.39771976916946e-06,nan
49,2025-11-24 18:15:33,7.17289589324821e-06,1.5175316370702891e-07,1.045690468726157e-05,5.949071094501179e-07,6.668301308909719e-06,1.007471055321875e-06,4360994652.026154
50,2025-11-24 18:16:11,7.225997117776828e-06,1.7548329655918423e-07,nan,nan,5.049860943628914e-06,1.0861716995248028e-06,nan
51,2025-11-24 18:16:50,6.9959710087275084e-06,1.5431089285257317e-07,1.0614400802522184e-05,7.705629961108221e-07,3.932552161911573e-06,1.288512636472204e-06,4360995258.76118
52,2025-11-24 18:17:27,6.795040632390226e-06,1.2663906134629844e-07,1.0334803371092605e-05,1.1852568828123446e-06,6.263224382019317e-06,1.3876565302455099e-06,4360992466.751615
53,2025-11-24 18:18:05,7.0182237696947425e-06,1.3169293078147082e-07,1.0582569615502635e-05,9.257003359723399e-07,5.672334973283455e-06,1.2650825587472357e-06,4360999388.26809
54,2025-11-24 18:18:43,7.041279372455023e-06,1.7820333674029316e-07,nan,nan,5.487801921333357e-06,1.1519241969303355e-06,nan
55,2025-11-24 18:19:20,6.877471404376223e-06,1.8748503863688843e-07,nan,nan,4.835777817735476e-06,1.2292346324136317e-06,nan
56,2025-11-24 18:19:58,7.2127448154102325e-06,1.3106640553333525e-07,nan,nan,6.31116678873056e-06,1.4833779785125716e-06,nan
57,2025-11-24 18:20:36,6.937942138129927e-06,1.5237606822698442e-07,nan,nan,4.677016974374837e-06,7.061502798874382e-07,nan
58,2025-11-24 18:21:13,7.051801264257307e-06,1.5483754298165036e-07,nan,nan,5.686587767117501e-06,1.2423524180861436e-06,nan
59,2025-11-24 18:21:51,7.458783101599309e-06,1.3889118339541523e-07,nan,nan,5.3424167631987984e-06,1.3092381568317379e-06,nan
60,2025-11-24 18:22:29,6.542612686288862e-06,1.3228125784460895e-07,8.69415118676109e-06,9.07132480102568e-07,5.473864789440341e-06,1.1264455002001412e-06,4360994988.909857
61,2025-11-24 18:23:06,6.952930828640902e-06,1.425262923697733e-07,1.0975811207236674e-05,6.696496093079566e-07,5.764399865215708e-06,1.0495543941422522e-06,4360996635.234313
62,2025-11-24 18:23:44,6.868100431933755e-06,1.4205310389605176e-07,nan,nan,3.951989966610725e-06,1.1935680466555724e-06,nan
63,2025-11-24 18:24:21,7.349954843638429e-06,1.392820324268354e-07,1.050787541734266e-05,8.90944339828497e-07,6.011103983238897e-06,9.83650427215497e-07,4360996381.760208
64,2025-11-24 18:24:59,6.867246178599018e-06,1.2855532404049997e-07,1.0311551232211613e-05,1.0308616580403099e-06,4.3211588136582435e-06,1.2254173227087263e-06,4360992019.207116
65,2025-11-24 18:25:37,7.046690347456419e-06,1.3921483104423144e-07,nan,nan,4.3392109669859735e-06,1.1094329452022504e-06,nan
66,2025-11-24 18:26:14,7.240535989438968e-06,1.286327118287303e-07,9.350766601246008e-06,8.357258890531573e-07,6.811319525956705e-06,1.9091529221777647e-06,4360994076.008773
67,2025-11-24 18:26:52,6.958217179109383e-06,1.864942308389461e-07,1.0053461660053387e-05,6.804519287314496e-07,5.930483096605599e-06,1.2396908778466279e-06,4360995819.265009
68,2025-11-24 18:27:29,7.139298023206564e-06,1.178939279543005e-07,nan,nan,6.006410881775892e-06,1.4719019034080294e-06,nan
69,2025-11-24 18:28:07,6.9079831690466165e-06,1.5750071319500379e-07,nan,nan,3.545117402747877e-06,1.1736217928292704e-06,nan
70,2025-11-24 18:28:45,6.72816643532137e-06,1.4532072058022604e-07,nan,nan,5.394431626726259e-06,1.2963097136086456e-06,nan
71,2025-11-24 18:29:23,7.025411436822893e-06,1.6919930739501403e-07,nan,nan,6.8450735304370625e-06,1.427148206200942e-06,nan
72,2025-11-24 18:30:00,7.073205017027462e-06,1.5457558568649418e-07,nan,nan,5.54114326822841e-06,1.3077694117367246e-06,nan
73,2025-11-24 18:30:38,7.154840077072677e-06,1.6094728803392502e-07,nan,nan,6.271853123740456e-06,1.4580797427239227e-06,nan
74,2025-11-24 18:31:16,7.118608826850448e-06,1.6130826098638704e-07,nan,nan,5.715840571962616e-06,1.1489697093230489e-06,nan
75,2025-11-24 18:31:53,7.160719120768988e-06,1.354232975336635e-07,1.048306335671434e-05,9.553320192921203e-07,5.400080337114588e-06,8.635120793997406e-07,4360998272.349186
76,2025-11-24 18:32:31,6.778880835778267e-06,1.5259804090279963e-07,nan,nan,5.189301842456473e-06,9.907207876903287e-07,nan
77,2025-11-24 18:33:08,7.05581354121243e-06,1.3135675519215058e-07,1.0207772118908665e-05,7.226463787579787e-07,4.992544137660815e-06,1.0739551893862315e-06,4360993262.581391
78,2025-11-24 18:33:46,7.094972029220159e-06,1.4952672464767217e-07,nan,nan,5.380287508849335e-06,1.0900887903318492e-06,nan
79,2025-11-24 18:34:23,7.2832522435284375e-06,1.4993701567059358e-07,nan,nan,6.357716484384213e-06,1.4057900779590345e-06,nan
80,2025-11-24 18:35:01,6.89663585085043e-06,1.28999785525564e-07,nan,nan,4.339989956747559e-06,1.0870533740936784e-06,nan
81,2025-11-24 18:35:39,7.0424941902569316e-06,1.5578128845297487e-07,1.1599120877336944e-05,8.767449683407494e-07,4.785816937635801e-06,1.0306044118296223e-06,4360995011.474867
82,2025-11-24 18:36:16,7.552336511285063e-06,1.6286652136670148e-07,nan,nan,5.55205017649385e-06,1.044468642263572e-06,nan
83,2025-11-24 18:36:54,7.18884099848438e-06,8.369847774242444e-08,nan,nan,5.095063809301692e-06,1.1976602329931306e-06,nan
84,2025-11-24 18:37:32,6.964499140948988e-06,2.1004496184218547e-07,1.0845739066844828e-05,7.82282522284921e-07,4.6962645443571205e-06,1.1016785287409512e-06,4360993517.586782
85,2025-11-24 18:38:09,6.482652542327827e-06,1.4527672560317933e-07,nan,nan,5.193411216186661e-06,8.633837440466584e-07,nan
86,2025-11-24 18:38:47,7.104140134828185e-06,1.099869589815044e-07,1.1631162509129211e-05,8.041894664170708e-07,3.956882652200733e-06,1.342601344765102e-06,4360994992.546462
87,2025-11-24 18:39:25,6.695726185279582e-06,1.4470172176928174e-07,nan,nan,5.150298646006135e-06,1.2590740159799896e-06,nan
88,2025-11-24 18:40:02,6.991898677588537e-06,1.6840849490584102e-07,1.078253408559604e-05,7.326959456255067e-07,4.782732124342104e-06,9.648626417770206e-07,4360997923.432298
89,2025-11-24 18:40:40,7.119274726408165e-06,1.3664518855746932e-07,nan,nan,2.7236372714956048e-06,1.4393032499117551e-06,nan
90,2025-11-24 18:41:17,7.235304137820364e-06,1.5903865508425097e-07,nan,nan,5.194444889777827e-06,1.1844140735317863e-06,nan
91,2025-11-24 18:41:55,6.889405417709327e-06,1.798206249424323e-07,1.052329209549896e-05,8.537084965949611e-07,4.095695946393363e-06,1.2272829372025903e-06,4360994792.754656
92,2025-11-24 18:42:33,7.3745767454891364e-06,1.6611306643178942e-07,1.1224954358457495e-05,8.247187133186106e-07,4.528139141424248e-06,9.361027857463894e-07,4360998735.175791
93,2025-11-24 18:43:11,7.097964501490139e-06,2.0157753417550278e-07,nan,nan,1.2632437318416123e-09,nan,nan
94,2025-11-24 18:43:48,7.2402412218952605e-06,1.7666711525110064e-07,nan,nan,4.967619017248737e-06,9.211671055495284e-07,nan
95,2025-11-24 18:44:26,7.218972872369278e-06,1.1823395204552172e-07,nan,nan,5.033331259340912e-06,1.0841247739190374e-06,nan
96,2025-11-24 18:45:04,7.318494802843745e-06,1.3190163549054752e-07,1.1368074940509842e-05,8.47493138493364e-07,6.041749824214904e-06,1.5143757454543716e-06,4360995814.69844
97,2025-11-24 18:45:41,7.28002856398291e-06,1.363242638759725e-07,nan,nan,6.399274428137147e-06,1.226578720399779e-06,nan
98,2025-11-24 18:46:19,7.214814496725452e-06,1.3348229500201357e-07,nan,nan,4.589766575247012e-06,1.438335170061651e-06,nan
99,2025-11-24 18:46:57,7.501622279137976e-06,1.4765103426393858e-07,1.2055616495976196e-05,7.6706880228933e-07,7.3405183163011145e-06,1.873256948462531e-06,4360997632.330728
100,2025-11-24 18:47:34,6.969492265529453e-06,1.4898146793925176e-07,9.156396912235465e-06,8.738137159854611e-07,4.640033017810907e-06,9.281161544602979e-07,4360996152.131146
101,2025-11-24 18:48:12,7.547275949093546e-06,1.5145571547357308e-07,9.76917154216217e-06,1.0814576692388739e-06,5.991745595457232e-06,1.0180199455064131e-06,4360999940.29831
102,2025-11-24 18:48:50,6.7657653055608336e-06,1.4471371307622682e-07,1.1237077092163261e-05,1.0103611089328199e-06,6.431859313815735e-06,1.1378283483605038e-06,4360995137.249806
103,2025-11-24 18:49:28,7.151240942304682e-06,1.1534783697802168e-07,nan,nan,4.636109326661142e-06,9.87216320528823e-07,nan
104,2025-11-24 18:50:05,7.01726225593724e-06,1.3400905948288488e-07,nan,nan,5.844705834201491e-06,1.1910114770727654e-06,nan
105,2025-11-24 18:50:43,7.2589966599867495e-06,1.0925221156605199e-07,1.0604295278549003e-05,7.727053161868157e-07,6.067832047484956e-06,1.3949297264323566e-06,4360996988.234051
106,2025-11-24 18:51:21,7.044284207502471e-06,1.3495572745005608e-07,nan,nan,4.590185813668768e-06,1.3470078659278365e-06,nan
107,2025-11-24 18:51:58,6.9084769778182675e-06,1.2693422669612306e-07,8.677212995467087e-06,1.0624490833931627e-06,5.56693119868612e-06,1.1154380881102941e-06,4360993142.963999
108,2025-11-24 18:52:36,6.910117168246188e-06,1.3556198718641873e-07,nan,nan,5.1411941934809136e-06,1.124730881062654e-06,nan
109,2025-11-24 18:53:14,7.199699152415917e-06,1.337802633271169e-07,8.936324505048887e-06,9.228968533332547e-07,4.015104449361928e-06,1.1951821159302277e-06,4360996019.490457
110,2025-11-24 18:53:51,7.321845963081941e-06,1.361917462099346e-07,1.0409150765555708e-05,9.869670001358755e-07,5.7033568123809886e-06,1.0555287939820968e-06,4360991846.612502
111,2025-11-24 18:54:29,7.023920324700228e-06,1.3300109478214558e-07,nan,nan,4.3828652871447105e-06,1.0854423605501241e-06,nan
112,2025-11-24 18:55:06,7.065685123430754e-06,2.1697066965621546e-07,1.1855268935656582e-05,8.762480755634516e-07,4.54666203708598e-06,1.136112211438622e-06,4360997054.444476
113,2025-11-24 18:55:44,7.036310863073325e-06,1.6518747356685176e-07,nan,nan,6.26357594502025e-06,1.2860920372254883e-06,nan
114,2025-11-24 18:56:22,7.053217439212389e-06,1.8748421297687597e-07,1.2036677693227915e-05,8.133031233939964e-07,4.971147389953856e-06,8.69507282705071e-07,4360999569.984031
